"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
7.370882400E-2,2.669963837E-1,-1.878757477E-1,2.512197495E-1
7.870882400E-2,2.537438869E-1,-2.128620148E-1,9.010076523E-2
8.370882400E-2,2.100120783E-1,-2.361912727E-1,-3.655576706E-2
8.870882400E-2,1.610383987E-1,-1.825499535E-1,-9.111690521E-2
9.370882400E-2,8.573353291E-2,-1.331839561E-1,-1.025886536E-1
9.870882400E-2,2.647876740E-2,-1.444740295E-1,-4.846239090E-2
1.037088240E-1,-1.160860062E-2,-1.741733551E-1,4.613494873E-2
1.087088240E-1,-5.667734146E-2,-1.657781601E-1,1.607360840E-1
1.137088240E-1,-9.990668297E-2,-1.241641045E-1,2.094044685E-1
1.187088240E-1,-1.018618345E-1,-1.302881241E-1,2.053956985E-1
1.237088240E-1,-6.474435329E-2,-1.731572151E-1,4.377379417E-1
1.287088240E-1,2.140033245E-2,-1.861634254E-1,9.402360916E-1
1.337088240E-1,1.273931265E-1,-1.678042412E-1,1.596514225E0
1.387088240E-1,2.299356461E-1,-1.919651031E-1,1.946261883E0
1.437088240E-1,3.071196675E-1,-2.621278763E-1,2.035944462E0
1.487088240E-1,3.278936148E-1,-3.189744949E-1,1.933154106E0
1.537088240E-1,3.072814345E-1,-3.647193909E-1,1.648742676E0
1.587088240E-1,2.463392615E-1,-4.014105797E-1,1.172197342E0
1.637088240E-1,2.518802881E-1,-4.188232422E-1,5.658535957E-1
1.687088240E-1,2.692793012E-1,-3.994469643E-1,1.794810295E-1
1.737088240E-1,2.656930089E-1,-3.806953430E-1,3.822894096E-1
1.787088240E-1,2.934756875E-1,-3.806986809E-1,4.895944595E-1
1.837088240E-1,3.289106488E-1,-3.331203461E-1,6.678991318E-1
1.887088240E-1,3.257167339E-1,-3.081216812E-1,8.006768227E-1
1.937088240E-1,2.639845610E-1,-2.712788582E-1,9.511828423E-1
1.987088240E-1,1.760857701E-1,-2.286920547E-1,1.092175484E0
2.037088240E-1,8.194190264E-2,-1.883234978E-1,1.196980476E0
2.087088240E-1,-3.244674206E-2,-1.631011963E-1,1.263049603E0
2.137088240E-1,-9.761780500E-2,-1.531844139E-1,1.320266724E0
2.187088240E-1,-1.156670451E-1,-1.540565491E-1,1.366067886E0
2.237088240E-1,-1.059694290E-1,-1.659126282E-1,1.372766495E0
2.287088240E-1,-6.730395555E-2,-1.848216057E-1,1.353782177E0
2.337088240E-1,-1.497894526E-2,-2.305569649E-1,1.324653149E0
2.387088240E-1,1.493889093E-2,-2.678174973E-1,1.306362152E0
2.437088240E-1,5.042964220E-2,-2.998576164E-1,1.325810909E0
2.487088240E-1,9.210729599E-2,-3.011684418E-1,1.338518143E0
2.537088240E-1,1.390379667E-1,-2.669310570E-1,1.384857178E0
2.587088240E-1,2.120293975E-1,-2.456116676E-1,1.400197029E0
2.637088240E-1,2.795454264E-1,-2.363657951E-1,1.364158630E0
2.687088240E-1,3.224459291E-1,-2.232408524E-1,1.270899773E0
2.737088240E-1,3.563361168E-1,-1.985235214E-1,1.109046936E0
2.787088240E-1,3.906299472E-1,-1.879725456E-1,8.913288116E-1
2.837088240E-1,4.415211082E-1,-1.617317200E-1,6.461963654E-1
2.887088240E-1,4.687414765E-1,-1.287145615E-1,3.848218918E-1
2.937088240E-1,4.346551597E-1,-8.762264252E-2,1.760911942E-1
2.987088240E-1,3.450488448E-1,-1.785612106E-2,5.620861053E-2
3.037088240E-1,2.661763132E-1,3.593444824E-3,-2.982139587E-2
3.087088240E-1,2.545613647E-1,-3.269672394E-2,-1.519317627E-1
3.137088240E-1,2.703975439E-1,-4.464483261E-2,-3.096628189E-1
3.187088240E-1,3.204701245E-1,-5.343723297E-2,-4.120411873E-1
3.237088240E-1,3.742926121E-1,-5.954551697E-2,-4.516930580E-1
3.287088240E-1,4.632065892E-1,-5.545473099E-2,-4.431786537E-1
3.337088240E-1,5.705794096E-1,-3.583097458E-2,-4.190487862E-1
3.387088240E-1,6.310214996E-1,-2.607870102E-2,-3.091111183E-1
3.437088240E-1,6.516885757E-1,-5.828809738E-2,-2.281432152E-1
3.487088240E-1,6.976242661E-1,-1.032624245E-1,-1.627607346E-1
3.537088240E-1,7.239569426E-1,-1.396374702E-1,-1.111254692E-1
3.587088240E-1,7.278703451E-1,-1.573452950E-1,-4.481697083E-2
3.637088240E-1,6.865215302E-1,-1.398439407E-1,7.583999634E-2
3.687088240E-1,6.713366508E-1,-1.908864975E-1,1.765413284E-1
3.737088240E-1,6.155426502E-1,-2.311291695E-1,2.457399368E-1
3.787088240E-1,5.078078508E-1,-2.440476418E-1,3.182964325E-1
3.837088240E-1,3.561869562E-1,-2.304911613E-1,3.829507828E-1
3.887088240E-1,2.142883688E-1,-2.179861069E-1,4.150180817E-1
3.937088240E-1,1.179520488E-1,-2.115244865E-1,4.177780151E-1
3.987088240E-1,6.083919108E-2,-1.980977058E-1,3.702907562E-1
4.037088240E-1,4.239137471E-2,-2.032375336E-1,2.706031799E-1
4.087088240E-1,3.657220304E-2,-1.539602280E-1,1.666641235E-1
4.137088240E-1,-1.597478986E-3,-7.025575638E-2,1.188526154E-1
4.187088240E-1,9.675562382E-3,-5.277299881E-2,5.235385895E-2
4.237088240E-1,5.190952122E-2,-4.621171951E-2,-5.029392242E-2
4.287088240E-1,1.446011662E-1,-5.117368698E-2,-1.936120987E-1
4.337088240E-1,1.891245544E-1,-3.367185593E-2,-3.313941956E-1
4.387088240E-1,2.349796891E-1,-9.739875793E-3,-4.401979446E-1
4.437088240E-1,2.112514973E-1,1.058673859E-2,-5.614776611E-1
4.487088240E-1,1.136710271E-1,5.139589310E-2,-6.322503090E-1
4.537088240E-1,8.882254362E-3,8.159208298E-2,-6.371288300E-1
4.587088240E-1,-7.402040064E-2,9.406280518E-2,-6.047401428E-1
4.637088240E-1,-1.257231236E-1,1.012701988E-1,-5.553741455E-1
4.687088240E-1,-1.730149984E-1,1.286392212E-1,-4.267392159E-1
4.737088240E-1,-1.672270596E-1,1.410412788E-1,-2.901248932E-1
4.787088240E-1,-1.003599763E-1,1.103305817E-1,-2.127218246E-1
