"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.756494800E-2,6.515623990E1,2.568974860E1,4.568426339E1,NaN,NaN,1.000000000E2,7.200379944E1
8.897994260E-1,6.515497028E1,2.568855407E1,4.434756228E1,4.900000095E-1,2.011000061E2,9.316794395E0,9.387290955E0
3.338567655E0,6.515495674E1,2.568846774E1,5.108737246E1,2.399999946E-1,2.068999939E2,4.195197105E0,5.229209423E0
3.867219686E0,6.515496687E1,2.568846956E1,5.340652321E1,0.000000000E0,NaN,3.790092468E0,4.719374657E0
4.867542237E0,6.515496472E1,2.568846714E1,5.137094016E1,0.000000000E0,NaN,3.790092468E0,4.320793152E0
5.868061091E0,6.515496576E1,2.568846309E1,5.204464602E1,0.000000000E0,NaN,3.790092468E0,3.596422672E0
6.867679945E0,6.515495609E1,2.568847157E1,5.095578078E1,5.199999809E-1,1.455000000E2,3.790092468E0,2.910416126E0
7.867478903E0,6.515494449E1,2.568846656E1,4.951407175E1,1.230000019E0,1.460000000E2,3.790092468E0,2.752768278E0
8.868030465E0,6.515494518E1,2.568844501E1,4.799002383E1,1.000000000E0,1.458000031E2,3.790092468E0,2.901811600E0
9.867876194E0,6.515494404E1,2.568843185E1,4.786654998E1,5.899999738E-1,2.562999878E2,5.485151768E0,3.266883612E0
1.086808963E1,6.515492863E1,2.568837052E1,4.682901672E1,2.319999933E0,2.341000061E2,4.333166599E0,3.358277798E0
1.186792197E1,6.515492493E1,2.568836633E1,4.603519425E1,7.599999905E-1,1.951000061E2,4.153861523E0,3.379897118E0
1.286809328E1,6.515492063E1,2.568839560E1,4.487815158E1,1.190000057E0,1.318999939E2,4.131037712E0,3.303793192E0
1.386794426E1,6.515491708E1,2.568842601E1,4.437918980E1,1.039999962E0,1.270000000E2,4.068628311E0,3.192104816E0
1.486809302E1,6.515491415E1,2.568846073E1,4.373276694E1,1.200000048E0,1.233000031E2,3.790092468E0,2.867940187E0
1.586789817E1,6.515491226E1,2.568849135E1,4.284330190E1,1.110000014E0,1.190000000E2,3.790092468E0,2.544490099E0
1.686754447E1,6.515491142E1,2.568851882E1,4.243448850E1,1.090000033E0,1.166999969E2,3.790092468E0,2.500000000E0
1.786819614E1,6.515490911E1,2.568854831E1,4.226548253E1,1.139999986E0,1.190000000E2,3.790092468E0,2.500000000E0
1.886723473E1,6.515490618E1,2.568857239E1,4.220334926E1,1.029999971E0,1.195000000E2,3.790092468E0,2.500000000E0
1.986785426E1,6.515490303E1,2.568859320E1,4.178715111E1,9.800000191E-1,1.213000031E2,3.790092468E0,2.500000000E0
2.086820786E1,6.515489961E1,2.568861420E1,4.131437342E1,1.059999943E0,1.184000015E2,3.790092468E0,2.500000000E0
2.186799155E1,6.515489526E1,2.568863428E1,4.115690354E1,1.070000052E0,1.220000000E2,3.790092468E0,2.500000000E0
2.286768671E1,6.515489053E1,2.568865379E1,4.097776626E1,1.049999952E0,1.275999985E2,3.790092468E0,2.500000000E0
2.386785468E1,6.515488750E1,2.568867363E1,4.126432687E1,1.029999971E0,1.165999985E2,3.790092468E0,2.500000000E0
2.486751478E1,6.515488434E1,2.568868712E1,4.104600472E1,1.029999971E0,1.205000000E2,3.790092468E0,2.500000000E0
2.586786634E1,6.515488167E1,2.568870589E1,4.077909846E1,1.049999952E0,1.160999985E2,3.790092468E0,2.500000000E0
2.686754848E1,6.515487886E1,2.568872791E1,4.048497054E1,1.100000024E0,1.130999985E2,3.790092468E0,2.500000000E0
2.786799332E1,6.515487421E1,2.568875182E1,4.073808421E1,1.110000014E0,1.171999969E2,3.790092468E0,2.500000000E0
2.886784442E1,6.515486888E1,2.568877604E1,4.102696461E1,1.029999971E0,1.209000015E2,3.790092468E0,2.500000000E0
2.986740066E1,6.515486298E1,2.568879792E1,4.087150920E1,1.000000000E0,1.204000015E2,3.790092468E0,2.500000000E0
3.086818811E1,6.515485784E1,2.568881706E1,4.064342181E1,1.059999943E0,1.188000031E2,3.790092468E0,2.500000000E0
3.186789915E1,6.515485288E1,2.568883414E1,4.074315421E1,1.039999962E0,1.199000015E2,3.790092468E0,2.500000000E0
3.286732509E1,6.515484975E1,2.568884997E1,4.050762013E1,1.009999990E0,1.174000015E2,3.790092468E0,2.500000000E0
3.386804389E1,6.515484594E1,2.568886836E1,4.042729858E1,1.090000033E0,1.176999969E2,3.790092468E0,2.500000000E0
3.486740624E1,6.515484246E1,2.568888703E1,4.029820988E1,1.019999981E0,1.168000031E2,3.790092468E0,2.500000000E0
3.586779186E1,6.515483739E1,2.568890374E1,4.025707316E1,1.049999952E0,1.230000000E2,3.790092468E0,2.500000000E0
3.686755780E1,6.515483382E1,2.568892381E1,4.025890488E1,1.080000043E0,1.136999969E2,3.790092468E0,2.500000000E0
3.786798374E1,6.515483022E1,2.568894239E1,4.021184744E1,1.019999981E0,1.155999985E2,3.790092468E0,2.500000000E0
3.886780202E1,6.515482578E1,2.568896083E1,4.006341079E1,1.000000000E0,1.193000031E2,3.790092468E0,2.500000000E0
3.986751436E1,6.515482121E1,2.568897903E1,4.017968363E1,1.039999962E0,1.220000000E2,3.790092468E0,2.500000000E0
4.086794389E1,6.515481730E1,2.568899714E1,4.011010429E1,1.029999971E0,1.175999985E2,3.790092468E0,2.500000000E0
